Title,Section,Type,Priority,Preconditions,Steps,Expected Result
Verify Blog page loads successfully,Page Load,Functional,High,User has a browser open and internet access,1. Navigate to https://sauce-demo.myshopify.com/blogs/news,Page loads with HTTP 200. Page title shows News and the Sauce Demo header is visible.
Verify page title in browser tab,Page Load,Functional,Medium,User navigates to the blog page,"1. Navigate to https://sauce-demo.myshopify.com/blogs/news
2. Observe browser tab title",Browser tab displays News – Sauce Demo.
Verify breadcrumb navigation displays correctly,Navigation,Functional,Medium,User is on the blog page,"1. Navigate to https://sauce-demo.myshopify.com/blogs/news
2. Observe the breadcrumb trail",Breadcrumb shows Home — News with correct links.
Verify breadcrumb Home link navigates to homepage,Navigation,Functional,High,User is on the blog page,"1. Navigate to https://sauce-demo.myshopify.com/blogs/news
2. Click the Home breadcrumb link",User is redirected to https://sauce-demo.myshopify.com/.
Verify top navigation Search link works,Navigation,Functional,High,User is on the blog page,"1. Navigate to https://sauce-demo.myshopify.com/blogs/news
2. Click Search in the top navigation",User is redirected to https://sauce-demo.myshopify.com/search.
Verify top navigation About Us link works,Navigation,Functional,High,User is on the blog page,"1. Navigate to https://sauce-demo.myshopify.com/blogs/news
2. Click About Us in the top navigation",User is redirected to https://sauce-demo.myshopify.com/pages/about-us.
Verify top navigation Log In link works,Navigation,Functional,High,User is on the blog page,"1. Navigate to https://sauce-demo.myshopify.com/blogs/news
2. Click Log In in the top navigation",User is redirected to https://sauce-demo.myshopify.com/account/login.
Verify top navigation Sign Up link works,Navigation,Functional,High,User is on the blog page,"1. Navigate to https://sauce-demo.myshopify.com/blogs/news
2. Click Sign up in the top navigation",User is redirected to https://sauce-demo.myshopify.com/account/register.
Verify cart icon displays with correct item count,Cart,Functional,High,User has not added items to cart,"1. Navigate to https://sauce-demo.myshopify.com/blogs/news
2. Observe the cart button in the header",Cart button shows My Cart (0) indicating an empty cart.
Verify cart link navigates to cart page,Cart,Functional,High,User is on the blog page,"1. Navigate to https://sauce-demo.myshopify.com/blogs/news
2. Click the My Cart (0) link",User is redirected to https://sauce-demo.myshopify.com/cart.
Verify Check Out button is visible and links correctly,Cart,Functional,High,User is on the blog page,"1. Navigate to https://sauce-demo.myshopify.com/blogs/news
2. Click the Check Out button",User is redirected to https://sauce-demo.myshopify.com/cart.
Verify Sauce Demo logo/title link navigates to homepage,Navigation,Functional,High,User is on the blog page,"1. Navigate to https://sauce-demo.myshopify.com/blogs/news
2. Click the Sauce Demo heading/logo link",User is redirected to the homepage https://sauce-demo.myshopify.com/.
Verify hamburger/Menu toggle is present on mobile,Navigation,Functional,Medium,User is viewing the page on a mobile viewport (< 768px),"1. Open browser dev tools and set viewport to 375px wide
2. Navigate to https://sauce-demo.myshopify.com/blogs/news
3. Observe the navigation area",A menu toggle/hamburger icon is visible and navigation links are collapsed.
